Id,Name,Type,Description,Price
113,Rootbeer,Audio,Innovative uniform standardization,200.9
114,"Red Snapper - Fillet, Skin On",CD,Reactive optimizing success,227.56
115,Kiwi,Drinks,Inverse value-added emulation,33.46
116,Oregano - Fresh,Drinks,Progressive reciprocal capacity,251.5
117,Dooleys Toffee,Drinks,Total responsive flexibility,257.75
118,Tea - Honey Green Tea,Audio,Focused bottom-line forecast,161.9
119,Raspberries - Fresh,Drinks,Adaptive attitude-oriented structure,247.27
120,"Octopus - Baby, Cleaned",Audio,Ameliorated mission-critical pricing structure,179.29
121,Beef - Cow Feet Split,CD,Monitored systemic projection,177.66
122,Bread - Raisin Walnut Oval,Audio,Realigned tertiary installation,172.8
123,Evaporated Milk - Skim,Drinks,Devolved full-range info-mediaries,40.27
124,Broom - Angled,Drinks,Object-based interactive flexibility,222.56
125,Table Cloth 54x54 White,CD,Up-sized grid-enabled website,292.28
126,Pizza Pizza Dough,Drinks,Self-enabling high-level matrix,162.54
127,Water Chestnut - Canned,Laptops,Multi-layered human-resource circuit,278.96
128,Mushrooms - Honey,Drinks,Secured empowering toolset,223.8
129,Ham - Proscuitto,Drinks,Multi-tiered local knowledge user,316.82
130,Tarragon - Fresh,Drinks,Distributed radical encoding,63.16
131,Brandy Cherry - Mcguinness,Drinks,Open-architected explicit toolset,74.37
132,Baking Powder,Drinks,Re-engineered fresh-thinking forecast,52.14
133,Towel - Roll White,Drinks,Persevering impactful strategy,16.18
134,Bacardi Mojito,Drinks,Polarised discrete data-warehouse,158.59
135,The Pop Shoppe - Cream Soda,Drinks,Monitored systematic paradigm,295.32
136,Sambuca - Ramazzotti,Audio,Synergistic well-modulated functionalities,5.39
137,Shrimp - Black Tiger 16/20,Drinks,Face to face client-driven data-warehouse,245.2
138,Oil - Margarine,Drinks,Stand-alone analyzing architecture,159.9
139,Coffee - Decaffeinato Coffee,CD,Fundamental stable migration,288.56
140,Hot Choc Vending,Audio,Adaptive maximized service-desk,126.64
141,Savory,Cables,Multi-layered leading edge algorithm,114.96
142,Chambord Royal,CD,Synchronised regional project,40.32
143,Broom - Push,Drinks,Synergistic asynchronous synergy,107.52
144,"Pepper - Chipotle, Canned",Drinks,Robust uniform hierarchy,95.36
145,Eel - Smoked,Drinks,Multi-lateral actuating protocol,108.44
146,Peppercorns - Pink,Drinks,Optimized upward-trending analyzer,145.93
147,"Lettuce - Mini Greens, Whole",CD,Operative bi-directional artificial intelligence,217.74
148,Versatainer Nc - 888,CD,Virtual client-driven knowledge user,54.09
149,Nacho Chips,Drinks,Inverse neutral leverage,200.89
150,"Bread - Pullman, Sliced",Food,Operative 6th generation core,222.55
151,Sprouts - China Rose,Audio,Up-sized intermediate alliance,276.03
152,"Wine - White, Chardonnay",Drinks,Organized real-time firmware,201.37
153,"Jam - Blackberry, 20 Ml Jar",Audio,Cross-group intermediate implementation,156.58
154,Wine - Montecillo Rioja Crianza,Drinks,Realigned disintermediate extranet,144.39
155,French Pastries,Drinks,Automated object-oriented archive,180.07
156,Squeeze Bottle,Drinks,Face to face web-enabled methodology,248.41
157,Bandage - Flexible Neon,Drinks,Right-sized scalable infrastructure,186.53
158,Trout Rainbow Whole,Audio,Re-engineered mission-critical functionalities,159.9
159,Maple Syrup,Drinks,Universal eco-centric hardware,30.68
160,Eggplant Italian,CD,De-engineered clear-thinking strategy,260.33
161,"Pasta - Bauletti, Chicken White",Drinks,Focused web-enabled project,161.49
162,Wine - Conde De Valdemar,Drinks,Vision-oriented incremental challenge,227.81
163,Island Oasis - Peach Daiquiri,Components,Proactive multi-state matrix,284.74
164,Wine - Penfolds Koonuga Hill,CD,Inverse regional attitude,271.67
165,Lamb - Loin Chops,Drinks,Digitized mobile alliance,4.88
166,Crab - Meat,Laptops,Exclusive scalable throughput,214.07
167,Alize Red Passion,CD,Face to face fresh-thinking migration,211.23
168,Sauce - Ranch Dressing,Drinks,Multi-channelled motivating access,216.57
169,Strawberries - California,Drinks,Multi-layered high-level budgetary management,184.39
170,Drambuie,Drinks,Organized methodical benchmark,116.11
171,Bagelers - Cinn / Brown Sugar,Drinks,Cloned global toolset,238.06
172,Bread Base - Goodhearth,Audio,Robust bottom-line infrastructure,207.3
173,Vinegar - Balsamic,Drinks,Triple-buffered global installation,5.5
174,Kippers - Smoked,Drinks,Optimized systematic database,303.35
175,Squid - Breaded,Drinks,Configurable uniform function,102.14
176,Sauce - Alfredo,Components,Organic background success,289.44
177,Oranges,Drinks,Profound content-based ability,224.62
178,"Pineapple - Canned, Rings",Audio,Multi-layered web-enabled pricing structure,276.92
179,"Coffee - Colombian, Portioned",Audio,Robust tertiary capacity,115.89
180,Scallops - Live In Shell,Drinks,Re-contextualized multi-state ability,192.03
181,Sambuca - Ramazzotti,Audio,Sharable logistical help-desk,122.75
182,Pepper - Red Chili,Audio,Compatible modular data-warehouse,307.16
183,Salt - Table,Audio,Multi-tiered motivating workforce,245.31
184,Rum - Mount Gay Eclipes,Components,Cross-group zero tolerance firmware,242.67
185,"Soup - Clam Chowder, Dry Mix",Drinks,Persistent bi-directional toolset,158.66
186,Coffee - Egg Nog Capuccino,CD,Profound static middleware,87.78
187,Kellogs All Bran Bars,Audio,Public-key national service-desk,197.31
188,Pepper - Jalapeno,Drinks,Digitized 24/7 strategy,168.42
189,Hinge W Undercut,Audio,Fully-configurable cohesive workforce,288.72
190,Cabbage - Savoy,Audio,Progressive asymmetric model,250.29
191,Steampan - Foil,Drinks,Cross-platform tangible alliance,272.32
192,Fuji Apples,Drinks,Seamless 6th generation definition,33.5
193,"Tabasco Sauce, 2 Oz",CD,Horizontal incremental productivity,319.74
194,"Chilli Paste, Hot Sambal Oelek",Audio,Ameliorated grid-enabled moderator,141.15
195,Muffin - Zero Transfat,Audio,Networked 24/7 groupware,230.37
196,Mahi Mahi,Audio,Progressive empowering access,136.5
197,Cookies - Amaretto,Components,Realigned secondary extranet,115.99
198,Sobe - Lizard Fuel,Drinks,Digitized bottom-line product,18.95
199,Chicken - Leg / Back Attach,Drinks,Inverse multi-state product,36.7
200,Bread - Pain Au Liat X12,Laptops,Persistent 3rd generation alliance,179.58
201,Island Oasis - Wildberry,Components,Enhanced optimal process improvement,92.14
202,"Nut - Cashews, Whole, Raw",Drinks,Phased hybrid capability,238.66
203,Celery,Drinks,Operative user-facing hardware,159.57
204,Eggplant - Regular,Drinks,Upgradable systemic workforce,254.23
205,Lime Cordial - Roses,CD,Intuitive impactful challenge,67.33
206,Mustard - Dijon,CD,Fully-configurable analyzing superstructure,312.42
207,Apple - Granny Smith,Drinks,Devolved composite extranet,81.9
208,Wine - Ej Gallo Sierra Valley,CD,Digitized upward-trending website,232.07
209,Salt And Pepper Mix - White,CD,Profit-focused explicit frame,202.72
210,"Melon - Watermelon, Seedless",Audio,User-friendly next generation structure,142.54
211,Sobe - Cranberry Grapefruit,Drinks,Re-engineered exuding functionalities,210.4
212,Mussels - Cultivated,Audio,Switchable foreground archive,57.47
213,"Sauce - Gravy, Au Jus, Mix",Drinks,Versatile modular superstructure,132.74
214,Cleaner - Lime Away,Drinks,Profound fault-tolerant groupware,149.56
215,"Champagne - Brights, Dry",CD,Grass-roots even-keeled algorithm,46.1
216,"Radish - Black, Winter, Organic",Drinks,Organized 24 hour application,315.6
217,Flour Pastry Super Fine,Drinks,Multi-tiered systematic approach,5.14
218,Vinegar - Sherry,Drinks,Profound fresh-thinking forecast,166.91
219,"Pork - Chop, Frenched",Components,Synergistic eco-centric moderator,265.42
220,Uniform Linen Charge,Laptops,Open-architected attitude-oriented neural-net,78.41
221,Coffee - Dark Roast,Drinks,Assimilated 5th generation benchmark,303.88
222,Wine - Red Oakridge Merlot,Drinks,Team-oriented 6th generation intranet,36.0
223,Muffin Mix - Morning Glory,Drinks,Horizontal multi-state archive,269.18
224,Chivas Regal - 12 Year Old,Drinks,Right-sized systematic project,35.31
225,Towel Dispenser,Drinks,Customizable non-volatile system engine,52.71
226,Bar - Granola Trail Mix Fruit Nut,Drinks,Upgradable explicit knowledge base,38.84
227,Energy - Boo - Koo,Drinks,Programmable leading edge structure,296.57
228,Cookie - Oreo 100x2,Drinks,Devolved zero tolerance utilisation,220.01
229,Banana,Drinks,Business-focused 6th generation emulation,204.54
230,Nestea - Iced Tea,Drinks,Intuitive responsive extranet,2.31
231,Bread Bowl Plain,Drinks,Self-enabling holistic extranet,12.35
232,Banana Turning,Audio,Expanded composite initiative,163.85
233,Steampan - Half Size Shallow,Audio,Robust zero tolerance benchmark,282.68
234,"Salmon - Atlantic, No Skin",Audio,Versatile explicit project,14.64
235,Cheese - Wine,Laptops,Horizontal exuding focus group,136.08
236,Shrimp - 31/40,Drinks,Switchable mobile interface,111.38
237,Bacardi Breezer - Tropical,Audio,Persistent system-worthy system engine,256.76
238,Wine - Masi Valpolocell,Drinks,Innovative uniform software,170.64
239,Yogurt - Plain,Audio,Universal bifurcated capacity,74.31
240,Icecream - Dstk Strw Chseck,Audio,Configurable 24 hour secured line,178.48
241,"Beans - Black Bean, Preserved",CD,Managed bifurcated model,43.89
242,"Tuna - Canned, Flaked, Light",Audio,Multi-tiered demand-driven service-desk,173.35
243,Walkers Special Old Whiskey,Components,User-centric actuating flexibility,112.77
244,Squid - U - 10 Thailand,Drinks,Total systematic throughput,194.15
245,Nescafe - Frothy French Vanilla,CD,Customer-focused systemic hub,237.86
246,"Lobster - Tail, 3 - 4 Oz",Audio,Cross-group empowering workforce,220.85
247,Wine - Rubyport,Drinks,Secured clear-thinking synergy,53.79
248,"Yogurt - Blueberry, 175 Gr",Drinks,Mandatory responsive conglomeration,167.16
249,Sprouts - Baby Pea Tendrils,Audio,Stand-alone demand-driven archive,211.99
250,"Pasta - Orzo, Dry",Drinks,Optional object-oriented alliance,72.07
251,Scallops - Live In Shell,Drinks,Reduced solution-oriented access,111.48
252,Chocolate - Semi Sweet,Drinks,Automated modular website,109.94
253,Pastry - Carrot Muffin - Mini,Components,Multi-tiered attitude-oriented frame,309.37
254,Swiss Chard,Components,Persevering systematic website,149.3
255,Milk - 2%,Audio,Cross-platform systematic functionalities,196.27
256,Bagels Poppyseed,Components,Re-contextualized impactful workforce,139.99
257,Island Oasis - Peach Daiquiri,Drinks,Mandatory homogeneous algorithm,256.59
258,"Chicken - White Meat, No Tender",Drinks,User-centric stable project,256.37
259,Bread - 10 Grain Parisian,Components,Horizontal tertiary analyzer,288.69
260,Jerusalem Artichoke,Drinks,Integrated discrete data-warehouse,33.52
261,"Soup - Knorr, French Onion",Food,Multi-layered transitional migration,5.72
262,Canadian Emmenthal,Drinks,Polarised mission-critical toolset,255.52
263,Bagel - 12 Grain Preslice,Drinks,Devolved reciprocal local area network,127.05
264,Kale - Red,Audio,Cloned scalable emulation,179.17
265,Veal - Provimi Inside,Drinks,Re-engineered methodical contingency,206.98
266,Gooseberry,Drinks,Down-sized full-range core,252.7
267,"Pork - Loin, Boneless",Drinks,Public-key 6th generation circuit,47.11
268,Pie Pecan,Audio,Realigned background approach,38.53
269,"C - Plus, Orange",Tablets,Managed foreground project,165.39
270,Sugar - Cubes,Drinks,Customizable zero administration project,248.81
271,Chips - Doritos,CD,Visionary human-resource project,200.74
272,Melon - Honey Dew,Laptops,Enhanced uniform middleware,270.12
273,Container - Clear 16 Oz,CD,Reactive 6th generation archive,225.96
274,Broom - Corn,Drinks,Persistent client-driven paradigm,82.72
275,"Coke - Diet, 355 Ml",Drinks,Quality-focused empowering infrastructure,68.42
276,Calaloo,Drinks,Monitored global customer loyalty,212.52
277,Table Cloth 62x120 Colour,Drinks,Customer-focused exuding capability,177.84
278,Chicken - Ground,Drinks,Visionary discrete array,12.7
279,"Tomatoes - Vine Ripe, Red",Audio,Business-focused tangible database,145.2
280,Tea - Honey Green Tea,Audio,Fully-configurable radical complexity,207.0
281,Bread - White Epi Baguette,Drinks,Optional optimal focus group,94.98
282,Bols Melon Liqueur,Drinks,Object-based encompassing help-desk,85.66
283,Juice - Ocean Spray Kiwi,Drinks,Integrated client-driven Graphic Interface,99.81
284,Garlic - Peeled,Audio,User-friendly client-driven groupware,279.56
285,"Soup - Campbells, Cream Of",Drinks,Cross-platform logistical middleware,9.35
286,Peppercorns - Green,Drinks,Devolved dynamic help-desk,205.44
287,Calypso - Pineapple Passion,Drinks,Proactive 6th generation concept,3.3
288,Sprouts - Alfalfa,Drinks,Ameliorated well-modulated moratorium,272.56
289,"Pasta - Rotini, Colour, Dry",Drinks,Secured scalable application,195.96
290,Silicone Paper 16.5x24,Components,Horizontal non-volatile synergy,87.75
291,"Olives - Green, Pitted",Drinks,Intuitive intangible product,107.02
292,Sour Puss Sour Apple,Drinks,Switchable bottom-line extranet,277.18
293,Island Oasis - Lemonade,Drinks,Vision-oriented system-worthy hardware,297.4
294,Kellogs Special K Cereal,Drinks,Customizable attitude-oriented architecture,250.91
295,Sobe - Liz Blizz,Audio,User-centric multimedia challenge,178.62
296,Bread - Crusty Italian Poly,Drinks,Fully-configurable systemic knowledge user,239.29
297,"Beans - Kidney, Red Dry",Drinks,Exclusive explicit budgetary management,96.99
298,Spinach - Frozen,CD,Customer-focused coherent internet solution,231.12
299,Parsley Italian - Fresh,Drinks,Programmable user-facing pricing structure,299.48
300,Wine - Malbec Trapiche Reserve,Drinks,Re-engineered dynamic infrastructure,290.35
301,Ham - Cooked Bayonne Tinned,Drinks,Optional full-range access,143.82
302,"Artichoke - Bottom, Canned",Drinks,Synergized exuding capability,118.45
303,Towel Multifold,Audio,Function-based holistic encoding,227.5
304,Pastry - Lemon Danish - Mini,Components,Pre-emptive web-enabled knowledge base,290.73
305,"Artichoke - Hearts, Canned",Drinks,Digitized web-enabled approach,29.17
306,Lemon Tarts,Drinks,Compatible dedicated analyzer,149.37
307,"Vermouth - Sweet, Cinzano",Audio,Reverse-engineered zero administration database,159.62
308,Magnotta - Bel Paese White,Drinks,Triple-buffered modular alliance,8.33
309,Kippers - Smoked,CD,Up-sized global knowledge base,235.15
310,Passion Fruit,Drinks,Virtual interactive system engine,23.02
311,"Apple - Delicious, Red",Drinks,Total uniform customer loyalty,164.94
312,Chips - Assorted,Drinks,Integrated static framework,134.38
313,Sauce - Caesar Dressing,CD,Function-based intermediate toolset,278.51
314,Shiratamako - Rice Flour,CD,Ergonomic maximized core,77.7
315,Rice - Long Grain,Drinks,Assimilated national standardization,310.58
316,Mace Ground,Drinks,Re-engineered 6th generation throughput,270.68
317,Coconut - Whole,Audio,Customer-focused bottom-line encoding,7.51
318,Cup - 4oz Translucent,Drinks,Optional mobile internet solution,106.06
319,Bandage - Flexible Neon,Drinks,Profit-focused encompassing attitude,250.01
320,Wine - Champagne Brut Veuve,Drinks,Inverse zero administration success,64.13
321,Cookies - Englishbay Wht,Drinks,Visionary zero tolerance moderator,124.67
322,Shrimp - 150 - 250,CD,De-engineered didactic implementation,270.94
323,Beef - Short Ribs,Drinks,Customizable high-level array,79.1
324,Fiddlehead - Frozen,Laptops,Advanced interactive focus group,63.66
325,Ecolab - Hobart Upr Prewash Arm,Audio,Multi-lateral homogeneous internet solution,175.18
326,Wine - Balbach Riverside,Drinks,Re-engineered zero tolerance workforce,42.89
327,Oil - Margarine,Audio,Digitized hybrid methodology,74.0
328,Orange - Tangerine,Drinks,De-engineered responsive architecture,278.09
329,Energy Drink - Franks Pineapple,Drinks,Synchronised hybrid neural-net,179.33
330,"Wine - White, Antinore Orvieto",Audio,Streamlined tertiary help-desk,147.21
331,"Tomatoes - Plum, Canned",Drinks,Programmable discrete knowledge base,90.11
332,Cookie Dough - Peanut Butter,Drinks,Reverse-engineered asynchronous hub,188.88
333,Bread - Corn Muffaletta,Components,Upgradable fresh-thinking time-frame,144.89
334,"Soup - Campbells, Chix Gumbo",Drinks,Grass-roots bottom-line synergy,105.52
335,Kumquat,Drinks,Grass-roots analyzing collaboration,1.45
336,Remy Red,Drinks,Object-based secondary capacity,91.79
337,Stock - Fish,CD,Programmable multi-state architecture,163.22
338,Tray - 16in Rnd Blk,Drinks,Progressive incremental functionalities,44.14
339,Soup - Campbells Chicken,Drinks,Horizontal methodical process improvement,14.73
340,Aspic - Light,Drinks,Up-sized object-oriented methodology,249.82
341,"Wine - White, Cooking",Drinks,Phased full-range encoding,178.64
342,Cookies - Fortune,Drinks,Organized reciprocal database,270.32
343,Sage Ground Wiberg,Drinks,Innovative methodical data-warehouse,47.98
344,Celery Root,Audio,Cloned tertiary paradigm,164.4
345,Energy Drink,Audio,Fundamental foreground portal,45.94
346,Goat - Whole Cut,Drinks,Secured motivating budgetary management,254.43
347,"Tomatoes - Plum, Canned",Drinks,Seamless value-added encryption,175.55
348,Bread - Triangle White,Drinks,Intuitive asymmetric access,72.42
349,Apricots Fresh,Audio,Enhanced non-volatile utilisation,1.61
350,Icecream Cone - Areo Chocolate,Drinks,Visionary disintermediate complexity,48.77
351,Flavouring - Raspberry,CD,Right-sized 3rd generation functionalities,18.34
352,"Oranges - Navel, 72",Components,Monitored asymmetric strategy,78.99
353,Sage Derby,Drinks,Centralized asymmetric data-warehouse,102.28
354,"Beans - Navy, Dry",Drinks,Re-contextualized grid-enabled utilisation,85.71
355,Flour - All Purpose,Audio,Configurable eco-centric core,129.71
356,Sproutsmustard Cress,Drinks,Streamlined mission-critical migration,238.75
357,Cheese - Fontina,Audio,Enterprise-wide directional migration,104.0
358,Veal - Eye Of Round,Drinks,Future-proofed executive process improvement,180.8
359,Soap - Hand Soap,CD,Advanced neutral capability,257.53
360,Scallops - 10/20,CD,User-friendly actuating frame,158.53
361,Soup - Cream Of Broccoli,Drinks,Stand-alone background migration,64.55
362,Vinegar - White,Drinks,Robust directional standardization,217.09
363,Flower - Daisies,CD,Enhanced asymmetric utilisation,292.75
364,Pork Casing,Drinks,Innovative 6th generation customer loyalty,49.56
365,Bar - Sweet And Salty Chocolate,Drinks,Centralized non-volatile definition,180.61
366,"Cookies - Oreo, 4 Pack",Drinks,Automated maximized monitoring,40.76
367,"Bread - Sticks, Thin, Plain",Drinks,Organic actuating array,104.64
368,Wine - Magnotta - Cab Franc,Drinks,Assimilated zero administration task-force,291.24
369,Sobe - Green Tea,CD,Exclusive homogeneous infrastructure,52.75
370,Muffin - Carrot Individual Wrap,Components,Synergized composite extranet,150.67
371,Icecream Cone - Areo Chocolate,CD,Synergistic disintermediate installation,113.82
372,Ice Cream - Life Savers,Drinks,Horizontal radical superstructure,123.73
373,Ham - Cooked Italian,Drinks,Proactive bandwidth-monitored protocol,187.55
374,Wild Boar - Tenderloin,Audio,Visionary discrete approach,27.93
375,Truffle Shells - Semi - Sweet,Audio,Automated actuating infrastructure,30.52
376,"Lid - 10,12,16 Oz",Drinks,Multi-tiered coherent throughput,296.49
377,Sugar - Invert,Drinks,Optimized background focus group,97.3
378,"Beets - Candy Cane, Organic",Drinks,Secured client-driven standardization,163.12
379,Ice Cream - Super Sandwich,CD,Future-proofed fault-tolerant process improvement,216.38
380,Cookie Chocolate Chip With,Drinks,Up-sized systemic knowledge base,212.06
381,Grouper - Fresh,CD,Front-line national success,44.14
382,Compound - Mocha,Audio,Customizable hybrid open architecture,268.76
383,Nantucket - Carrot Orange,Audio,Managed web-enabled projection,2.98
384,Pastry - Baked Scones - Mini,Drinks,Multi-tiered needs-based artificial intelligence,161.83
385,"Rum - Cream, Amarula",Drinks,Down-sized client-driven firmware,102.99
386,Dried Cranberries,Drinks,Up-sized tertiary alliance,118.71
387,"Beans - Kidney, Canned",CD,Implemented static customer loyalty,58.86
388,"Chestnuts - Whole,canned",Drinks,Object-based multi-tasking instruction set,158.73
389,Garbag Bags - Black,Audio,Assimilated user-facing complexity,50.86
390,Filo Dough,Drinks,Total secondary website,135.45
391,Mousse - Passion Fruit,Audio,Enterprise-wide client-driven concept,164.18
392,Fiddlehead - Frozen,Audio,Balanced content-based product,204.17
